workers,threads,mpitime,seqtime,speedup
2,2,94.964439,168.891415,1.778470096580047
3,2,98.110576,168.891415,1.721439439923378
4,2,75.307369,168.891415,2.242694403518466
2,4,94.813494,168.891415,1.781301456942405
3,4,97.34225,168.891415,1.73502682545349
4,4,74.736801,168.891415,2.2598159506452515
2,6,94.969355,168.891415,1.7783780357358434
3,6,97.675551,168.891415,1.7291063451487465
4,6,74.865374,168.891415,2.2559349666776525
2,8,95.134051,168.891415,1.7752993089719262
3,8,97.689209,168.891415,1.7288645975217178
4,8,74.75188,168.891415,2.2593600990369738
